date,titulo,resumo,link
2023-07-12,"Wall Street cheers cool CPI with stock rally; dollar, yields decline",By Lawrence Delevingne (Reuters) -Wall Street stocks advanced on Wednesday and the dollar and Treasury yields fell after new U.S. inflation data showed a slowdown in the seemingly...,https://www.investing.com//news/economy/asian-shares-rise-dollar-dips-as-traders-await-us-inflation-data-3123792
2023-07-12,"Gold hits 3-week high on cooling inflation, less-aggressive Fed","Investing.com - Gold’s hold on $1,900 looks secure for now. The latest U.S. print on inflation came in well below prior numbers and a tad softer than most economists expected on...",https://www.investing.com//news/general/gold-hits-3week-high-on-cooling-inflation-lessaggressive-fed-3124624
2023-07-12,Dow futures climb strongly after cooler than expected U.S. inflation data,"Investing.com -- U.S. stock futures rose strongly Wednesday, adding to the previous session’s gains after cooler-than-expected U.S. inflation data offered hope that the...",https://www.investing.com//news/stock-market-news/dow-futures-steady-following-positive-session-3123756
2023-07-12,Gold prices rise as Fed fears ease ahead of CPI report,"Investing.com -- Gold prices edged higher on Wednesday, sticking close to a three-week high as markets bet that the Federal Reserve was close to reaching peak interest rates, with...",https://www.investing.com//news/commodities-news/gold-prices-rise-as-fed-fears-ease-ahead-of-cpi-report-3123775
2023-06-15,"Stocks rally, dollar falls after U.S. data, ECB hike, hawkish Fed pause","By Sinéad Carew and Marc Jones NEW YORK, LONDON (Reuters) - MSCI's global index of stocks rose on Thursday to its highest level since April 2022 after strong U.S. economic data,...",https://www.investing.com//news/economy/stocks-stall-as-us-rates-seen-higher-for-longer-3105783
2023-06-15,"U.S. stocks steadying as Fed holds rates, signals hikes ahead","Investing.com -- U.S. stocks were steadying a day after the Federal Reserve’s latest interest rate move. At 10:20 ET (14:20 GMT), the Dow Jones Industrial Average was up 193 points...",https://www.investing.com//news/stock-market-news/us-stocks-steadying-as-fed-holds-rates-signals-hikes-ahead-3106342
2023-06-15,Gold prices dip as Fed pauses but flags future hikes,"Investing.com -- Gold prices fell on Thursday tracking mixed signals from the Federal Reserve, after the central bank kept rates steady but warned that it will likely hike at least...",https://www.investing.com//news/commodities-news/gold-prices-dip-as-fed-pauses-but-flags-future-hikes-3105755
2023-06-08,"Citi, Commerzbank stay bullish on gold medium-to-longer term","Investing.com -- The Federal Reserve’s potential rate hike pause next week could just be one reason to stay bullish on gold despite choppiness in the yellow metal now, analysts at...",https://www.investing.com//news/commodities-news/citi-commerzbank-stay-bullish-on-gold-mediumtolonger-term-3101532
2023-06-08,Gold heads for 2nd weekly gain as bets hold for Fed rate pause,"Investing.com -- Gold was headed for a second straight weekly gain on Thursday, posting its third rise in four days, amid bets the Federal Reserve will pause its rate hike cycle...",https://www.investing.com//news/commodities-news/gold-heads-for-2nd-weekly-gain-as-bets-hold-for-fed-rate-pause-3101513
2023-06-08,"Shares rise, Treasury yields fall as US jobless claims surge",By Marc Jones and Koh Gui Qing NEW YORK/LONDON (Reuters) - World stocks rose on Thursday and Treasury yields edged lower as investors leaned toward bets that the U.S. Federal...,https://www.investing.com//news/economy/asian-shares-slide-as-traders-fret-on-fed-rates-3100631
2023-06-08,U.S. stocks are rising as investors await Fed meeting,"Investing.com -- U.S. stocks were rising on Thursday after new labor market data countered worries about interest rate increases. At 11:17 ET (115:17 GMT), the Dow Jones Industrial...",https://www.investing.com//news/stock-market-news/us-stocks-are-drifting-as-investors-await-fed-meeting-3101205
2023-06-08,"Gold rangebound ahead of Fed meeting, copper stalls on China woes","Investing.com -- Gold prices hovered just above two-month lows on Thursday, sticking to a holding pattern seen in recent weeks as markets awaited an upcoming Federal Reserve...",https://www.investing.com//news/commodities-news/gold-rangebound-ahead-of-fed-meeting-copper-stalls-on-china-woes-3100604
2023-05-19,"Wall Street closes down, dollar dips as debt ceiling talks stall","By Stephen Culp NEW YORK (Reuters) - U.S. stocks ended lower and the dollar lost ground on Friday as negotiations to raise the U.S. debt ceiling were put on hold, jarring market...",https://www.investing.com//news/economy/asian-shares-mixed-as-china-growth-worries-crimp-us-debt-ceiling-optimism-3086201
2023-05-19,"Gold ends above $1,980, surviving bruising week on extended U.S. debt drama","Investing.com -- The U.S. debt drama is flashing red again, helping gold bulls see green. A fresh breakdown in talks to raise the U.S. debt ceiling drove the dollar lower on Friday...",https://www.investing.com//news/commodities-news/gold-ends-above-1980-surviving-bruising-week-on-extended-us-debt-drama-3086898
2023-05-19,"U.S. stocks reverse early gains, falling amid halt in debt ceiling talks",Investing.com -- U.S. stocks reversed earlier gains and turned lower on reports negotiators had hit pause on talks to reach an agreement on raising the debt ceiling. At 11:41 ET...,https://www.investing.com//news/stock-market-news/us-stocks-reverse-early-gains-falling-amid-halt-in-debt-ceiling-talks-3086742
2023-05-19,"European stocks rise; Smiths Group earnings, G7 meeting eyed","Investing.com - European stock markets traded higher Friday, benefiting from the global optimism that a U.S. debt default will be avoided. At 03:20 ET (07:20 GMT), the DAX index in...",https://www.investing.com//news/stock-market-news/european-stock-futures-higher-us-debt-optimism-solid-earnings-help-tone-3086255
2023-05-19,"Gold steadies after tumbling below $2,000, Powell speech awaited","Investing.com -- Gold prices were muted on Friday after falling sharply below key levels this week as improving sentiment over a U.S. debt deal saw traders dump safe havens, with...",https://www.investing.com//news/commodities-news/gold-steadies-after-tumbling-below-2000-powell-speech-awaited-3086171
2023-05-03,"Equities choppy while Treasury yields, dollar retreat in choppy trading after Fed hikes rates",(Corrects firm name to RBC Wealth Management from RBC Portfolio Advisory Group in paragraph 5) By Sinéad Carew NEW YORK (Reuters) - MSCI's gauge of stock markets around the world...,https://www.investing.com//news/economy/stocks-slide-into-fed-mode-shorts-stalk-banks-3070843
2023-05-03,U.S. stocks are wobbling as investors await Fed's interest rate decision,"Investing.com -- U.S. stocks were wobbling ahead of the Federal Reserve’s announcement about interest rates later today. At 11:51 ET (15:51 GMT), the Dow Jones Industrial Average...",https://www.investing.com//news/stock-market-news/us-stocks-are-rising-as-investors-await-feds-interest-rate-decision-3071517
2023-05-03,"Gold firms above $2,000 as Fed anxiety, bank rout boost safe havens","Investing.com -- Gold prices moved little in early Asian trade on Wednesday, but were underpinned by increased safe haven demand amid renewed fears of a banking crisis and...",https://www.investing.com//news/commodities-news/gold-firms-above-2000-as-fed-anxiety-bank-rout-boost-safe-havens-3070834
2023-05-02,"Stocks sink; Treasury yields, dollar fall; Fed, debt ceiling in focus","By Sinéad Carew NEW YORK (Reuters) - Wall Street stock indexes closed lower on Tuesday, a day ahead of the Federal Reserve's interest rate decision, while U.S. Treasury yields...",https://www.investing.com//news/stock-market-news/stocks-on-edge-as-traders-wait-on-central-bankers-3069630
2023-05-02,"Gold back above $2,000 on talk of potential U.S. debt default, Fed pause","Investing.com -- Gold returned to above $2,000 an ounce on Tuesday as talk about a potential U.S. debt default gathered pace amid head-butting between Republican lawmakers and the...",https://www.investing.com//news/commodities-news/gold-back-above-2000-on-talk-of-potential-us-debt-default-fed-pause-3070539
2023-05-02,"U.S. stocks sink as investors turn attention to Fed decision, debt ceiling","Investing.com -- U.S. stocks were sinking as investors await the outcome of the Federal Reserve’s two-day meeting, which starts today. At 11:24 ET (15:24 GMT), the Dow Jones...",https://www.investing.com//news/stock-market-news/us-stocks-fall-as-investors-turn-attention-to-fed-decision-debt-ceiling-3070254
2023-05-02,"Gold pinned below $2,000 as Fed jitters offset safe haven appeal","Investing.com -- Gold prices moved little in early Asian trade on Tuesday, hovering well below key levels as anticipation of a likely interest rate hike by the Federal Reserve...",https://www.investing.com//news/commodities-news/gold-pinned-below-2000-as-fed-jitters-offset-safe-haven-appeal-3069601
2023-04-13,"Stocks gain, gold jumps as Fed rate hike pause seen",By Herbert Lash and Amanda Cooper NEW YORK/LONDON (Reuters) - A gauge of global stocks rallied and bond yields were steady on Thursday after moderating U.S. producer prices and a...,https://www.investing.com//news/stock-market-news/tech-drags-hong-kong-stocks-dollar-squeezed-as-us-inflation-slows-3054239
2023-04-13,"Gold getting closer, a day at a time, to record high","By Barani Krishnan Investing.com -- It’s probably going to happen, whether the bears in gold like it or not. Gold kept up Thursday with its trend of making “mini highs” en route to...",https://www.investing.com//news/commodities-news/gold-getting-closer-a-day-at-a-time-to-record-high-3055141
2023-04-13,U.S. stocks rise as economic data ease rate hike worries,"By Liz Moyer Investing.com -- U.S. stocks were rising after more data showed inflation is cooling, easing fears about Federal Reserve interest rate increases. At 11:14 ET (15:14...",https://www.investing.com//news/stock-market-news/us-stocks-rise-as-economic-data-ease-rate-hike-worries-3054864
2023-04-13,"Asian stocks hit by recession fears, Alibaba leads tech rout","By Ambar Warrick Investing.com -- Most Asian stock markets retreated on Thursday, tracking overnight losses on Wall Street amid growing concerns over a U.S. recession, largely...",https://www.investing.com//news/stock-market-news/asian-stocks-hit-by-recession-fears-alibaba-leads-tech-rout-3054251
2023-04-13,"Gold pushes higher as inflation eases, recession fears rise",By Ambar Warrick Investing.com -- Gold prices rose in Asian trade on Thursday as softer-than-expected U.S. inflation data spurred bets on an early rate-hike pause by the Federal...,https://www.investing.com//news/commodities-news/gold-pushes-higher-as-inflation-eases-recession-fears-rise-3054241
2023-04-04,"Stocks, yields fall; data suggests U.S. economy cooling","By Caroline Valetkevitch NEW YORK (Reuters) - World stock indexes declined on Tuesday, with all three major U.S. stock indexes ending lower, while the U.S. dollar fell to a...",https://www.investing.com//news/economy/asia-stocks-wobble-as-opec-output-cuts-weak-us-data-raise-uncertainty-3048225
2023-04-04,"Gold above $2,000 again, new record high could be in days","By Barani Krishnan Investing.com -- “It never rains but it pours,” is the saying. After small but steady daily gains that came like the pitter-patter of rain,...",https://www.investing.com//news/commodities-news/gold-above-2000-again-new-record-high-could-be-in-days-3048959
2023-04-04,"U.S. stocks are wobbling after weaker than expected job openings, factory orders","By Liz Moyer Investing.com -- U.S. stocks wobbled after reports on job openings and factory orders for February were weaker than expected. At 10:26 ET (14:26 GMT), the Dow Jones...",https://www.investing.com//news/stock-market-news/us-stocks-were-inching-lower-as-investors-await-economic-reports-3048741
2023-04-04,"Dow futures rise 60 pts; oil prices, JOLTS data in focus","By Peter Nurse Investing.com -- U.S. stocks are seen opening marginally higher Tuesday, as investors digest the spike in oil prices, slowing economic growth, and the potential...",https://www.investing.com//news/stock-market-news/dow-futures-rise-60-pts-oil-prices-jolts-data-in-focus-3048473
2023-04-04,"Gold prices dip, but $2,000 in sight as economic outlook darkens",By Ambar Warrick Investing.com -- Gold prices fell slightly on Tuesday after rallying back to key levels in the prior session as markets considered the potential for more economic...,https://www.investing.com//news/commodities-news/gold-prices-dip-but-2000-in-sight-as-economic-outlook-darkens-3048220
2023-03-28,Wall Street falls while bond yields rise with gold,(Refiling to fix WRAPUP number to 7 instead of 5) By Sinéad Carew NEW YORK (Reuters) -Wall Street's major indexes closed lower on Tuesday while Treasury yields and gold advanced...,https://www.investing.com//news/stock-market-news/stocks-gain-us-treasury-yields-rise-as-banking-fear-eases-3041696
2023-03-28,"Gold nears $2,000 even as U.S. banking crisis abates","By Barani Krishnan Investing.com -- Maybe there’s something about the U.S. banking crisis that the gold market knows, which other markets, financial regulators — or even the banks...",https://www.investing.com//news/commodities-news/gold-nears-2000-even-as-us-banking-crisis-abates-3042994
2023-03-28,U.S. stocks mixed as rising yields pressure tech sector,"By Liz Moyer Investing.com -- U.S. stocks were mixed as Treasury yields were on the rise, pressuring growth stocks and big tech. At 10:21 ET (14:21 GMT), the Dow Jones Industrial...",https://www.investing.com//news/stock-market-news/us-stocks-mixed-as-rising-yields-pressure-tech-sector-3042519
2023-03-28,Dow futures fall 35 pts; confidence fragile even as banking tensions ease,"By Peter Nurse Investing.com -- U.S. stocks are seen opening marginally lower Tuesday, with confidence still fragile even as tensions surrounding the banking sector ease. At...",https://www.investing.com//news/stock-market-news/dow-futures-fall-35-pts-confidence-fragile-even-as-banking-tensions-ease-3042164
2023-03-28,European stocks higher; UBS rises as confidence returns,"By Peter Nurse  Investing.com - European stock markets traded higher Tuesday, helped by gains in the region’s banking sector as confidence grows that the recent turbulence is...",https://www.investing.com//news/stock-market-news/european-stocks-higher-ubs-rises-as-confidence-returns-3041862
2023-03-28,"Gold prices rise from steep losses, safe haven demand seen easing","By Ambar Warrick Investing.com -- Gold prices rose in early Asian trade on Tuesday, but were pinned well below recent highs as gains in the stock market and hopes that a U.S....",https://www.investing.com//news/commodities-news/gold-prices-rise-from-steep-losses-safe-haven-demand-seen-easing-3041684
2023-03-23,Bitcoin erases Fed losses as traders eye $40K BTC price target,"Bitcoin (BTC) returned to near $29,000 on March 23 as bulls ignored news of a fresh United States regulatory crackdown.BTC/USD 1-hour candle chart (Bitstamp). Source:...",https://www.investing.com//news/cryptocurrency-news/bitcoin-erases-fed-losses-as-traders-eye-40k-btc-price-target-3038500
2023-03-23,"Gold returns to $2,000 as dollar descends into post-Fed abyss","By Barani Krishnan Investing.com - The dollar is falling into a post-Fed abyss and gold is making the most of it. The yellow metal returned to $2,000 an ounce on Thursday as gold...",https://www.investing.com//news/commodities-news/gold-returns-to-2000-as-dollar-descends-into-postfed-abyss-3038376
2023-03-23,U.S. stocks are rising on hopes the Fed is headed for a pause,By Liz Moyer Investing.com -- U.S. stocks were rising after the Federal Reserve suggested it was nearing the end of its interest rate hikes. At 11:42 ET (15:42 GMT) the Dow Jones...,https://www.investing.com//news/stock-market-news/us-stocks-are-rising-on-hopes-the-fed-is-headed-for-a-pause-3037985
2023-03-23,"Dow futures rise 40 pts; jobless claims, banking sector in focus","By Peter Nurse Investing.com -- U.S. stocks are seen opening higher Thursday, bouncing back from the previous session's sharp selloff as investors continue to digest the Federal...",https://www.investing.com//news/stock-market-news/dow-futures-rise-40-pts-jobless-claims-banking-sector-in-focus-3037575
2023-03-23,European stock futures mixed; Bank of England in focus after Fed hike,By Peter Nurse  Investing.com - European stock markets are expected to open in a mixed fashion Thursday as investors digest the latest interest rate increase by the U.S. Federal...,https://www.investing.com//news/stock-market-news/european-stock-futures-mixed-bank-of-england-in-focus-after-fed-hike-3037325
2023-03-23,Gold prices rise as dollar sinks on bets of less hawkish Fed,"By Ambar Warrick Investing.com -- Gold prices rose on Thursday, hovering below the key $2,000 level amid expectations that the Federal Reserve will have limited headroom to hike...",https://www.investing.com//news/commodities-news/gold-prices-rise-as-dollar-sinks-on-bets-of-less-hawkish-fed-3037231
2023-03-22,"Gold back to high $1,900 as dollar falls; Fed voices inflation, banking worries",By Barani Krishnan Investing.com -- The Fed’s refrain that U.S. inflation is too high has seldom caused more than a passing interest in the gold market over the past year despite...,https://www.investing.com//news/commodities-news/gold-back-to-high-1900-as-dollar-falls-fed-voices-inflation-banking-worries-3037114
2023-03-22,U.S. stocks were muted ahead of Fed rate decision,By Liz Moyer Investing.com -- U.S. stocks were muted as investors await this afternoon’s Federal Reserve announcement on interest rates and its latest economic forecasts. At 10:41...,https://www.investing.com//news/stock-market-news/us-stocks-were-muted-ahead-of-fed-rate-decision-3036773
2023-03-22,Dow futures rise 15 pts; caution ahead of Fed rate decision,"By Peter Nurse Investing.com -- U.S. stocks are seen opening largely unchanged Wednesday, amid a degree of nervousness ahead of the Federal Reserve’s latest interest rate...",https://www.investing.com//news/stock-market-news/dow-futures-rise-15-pts-caution-ahead-of-fed-rate-decision-3036525
2023-03-22,Gold prices muted ahead of Fed meeting as safe haven appeal wanes,"By Ambar Warrick Investing.com -- Gold prices moved in a tight range on Wednesday, stabilizing after a sharp drop in the prior session as markets hunkered down ahead of a Federal...",https://www.investing.com//news/commodities-news/gold-prices-muted-ahead-of-fed-meeting-as-safe-haven-appeal-wanes-3036223
2023-03-17,"Global equities fall, gold surges as banking worries linger","By Chris Prentice and Elizabeth Howcroft NEW YORK/LONDON (Reuters) - Investor sentiment remained fragile on Friday despite massive rescue for the banking sector, leaving global...",https://www.investing.com//news/economy/asian-markets-take-breather-from-banking-turmoil-capping-tumultuous-week-3032971
2023-03-17,Gold hits 11-month high as U.S. banking crisis feeds safe havens,"By Barani Krishnan Investing.com -- Gold hit 11-month highs, breaking from the clutches of mid-$1,900 pricing to head for bullion bulls’ long-term target of $2,000, as the...",https://www.investing.com//news/commodities-news/gold-hits-near-11month-high-as-us-banking-crisis-feeds-safe-havens-3033689
2023-03-17,"Midday movers: First Republic, FedEx, Newmont and more",By Liz Moyer Investing.com -- Stocks were under pressure again as investors worried about the state of the banking system given dramatic events this week. Here are the midday...,https://www.investing.com//news/stock-market-news/midday-movers-first-republic-fedex-newmont-and-more-3033657
2023-03-17,U.S. stocks sink amid investor concerns about banking sector,"By Liz Moyer Investing.com -- U.S. stocks were sinking as investors continued to worry about the health of the banking sector. At 10:42 ET (14:42 GMT), the Dow Jones Industrial...",https://www.investing.com//news/stock-market-news/us-stocks-sink-amid-investor-concerns-about-banking-sector-3033560
2023-03-17,Dow futures fall 85 pts; Michigan consumer sentiment index due,"By Peter Nurse Investing.com -- U.S. stocks are seen opening in a mixed fashion Friday, consolidating following the previous session’s relief rally after a group of large...",https://www.investing.com//news/stock-market-news/dow-futures-fall-85-pts-michigan-consumer-sentiment-index-due-3033344
2023-03-17,Gold prices set for strong week as bank jitters spur safe haven demand,"By Ambar Warrick Investing.com-- Gold prices were flat in early Asian trade on Friday, and were set to log their strongest week in two months as fears of a potential banking crisis...",https://www.investing.com//news/commodities-news/gold-prices-set-for-strong-week-as-bank-jitters-spur-safe-haven-demand-3032946
2023-03-13,Gold hits 6-week highs on safe-haven buying linked to SVB fears,By Barani Krishnan  Investing.com -- The regulators have acted and the Biden administration has assured there won't be another banking debacle in the U.S. to trigger a financial...,https://www.investing.com//news/commodities-news/gold-hits-6week-highs-on-safehaven-buying-linked-to-svb-fears-3029228
2023-03-13,U.S. stocks shake off earlier losses and turn higher despite bank contagion fears,By Liz Moyer Investing.com -- U.S. stocks shook off earlier losses and climbed on Monday despite a sell-off in bank stocks amid fear of contagion from the collapse of SVB Financial...,https://www.investing.com//news/stock-market-news/us-stocks-pressured-by-bank-contagion-fears-3029074
2023-03-13,Dow futures up 35 pts; regional banks hit hard despite rescue plan,"By Peter Nurse Investing.com -- U.S. stocks are seen opening higher Monday, as investors digested the moves over the weekend to protect the country’s banking system in the...",https://www.investing.com//news/stock-market-news/dow-futures-up-35-pts-regional-banks-hit-hard-despite-rescue-plan-3028822
2023-03-13,European stock futures mixed; U.S. regulators move to support financial system,"By Peter Nurse  Investing.com - European stock markets are expected to open in a cautious manner Monday, with investors digesting the moves by U.S. regulators over the weekend to...",https://www.investing.com//news/stock-market-news/european-stock-futures-mixed-us-regulators-move-to-support-financial-system-3028499
2023-03-13,Gold prices surge as U.S. bank woes taper rate hike expectations,"By Ambar Warrick Investing.com -- Gold prices hit a one-month high on Monday, recovering sharply from recent losses as markets bet that a burgeoning banking crisis in the U.S. will...",https://www.investing.com//news/commodities-news/gold-prices-surge-as-us-bank-woes-taper-rate-hike-expectations-3028410
2023-03-10,"Wall Street dives, Treasury yields tumble as bank worries spread",By Stephen Culp NEW YORK (Reuters) - U.S. stocks closed sharply lower and Treasury yields extended their slide on Friday over fears of contagion in the financial sector and strong...,https://www.investing.com//news/economy/troubled-us-startuplender-spooks-share-markets-bonds-rally-3027017
2023-03-10,Gold at month-high as modest U.S. jobs growth plays down rate hike fears,"By Barani Krishnan Investing.com -- Gold hit a one-month high Friday in a sign that it may be ready to break free of the mid-$1,800 range it has been trapped in the past four weeks...",https://www.investing.com//news/commodities-news/gold-at-monthhigh-as-modest-us-jobs-growth-plays-down-rate-hike-fears-3027910
2023-03-10,U.S. stocks fall as bank sector comes under pressure,"By Liz Moyer  Investing.com -- U.S. stocks were falling as bank stocks come under pressure, while new data on jobs alleviated concerns about aggressive interest rate moves by the...",https://www.investing.com//news/stock-market-news/us-stocks-fall-as-bank-sector-comes-under-pressure-3027733
2023-03-10,Dow futures fall 100 pts; payrolls and banking sector in spotlight,"By Peter Nurse  Investing.com -- U.S. stocks are seen opening mixed Friday, stabilizing after the previous session's selloff with the focus on the upcoming jobs report and the...",https://www.investing.com//news/stock-market-news/dow-futures-fall-100-pts-payrolls-and-banking-sector-in-spotlight-3027476
2023-03-10,"Gold prices muted ahead of nonfarm payrolls, set for weekly losses","By Ambar Warrick Investing.com -- Gold prices kept to a small range on Friday as markets hunkered down ahead of nonfarm payrolls data that is likely to factor into monetary policy,...",https://www.investing.com//news/commodities-news/gold-prices-muted-ahead-of-nonfarm-payrolls-set-for-weekly-losses-3026981
2023-03-09,"Wall Street ends sharply lower, Treasury yields dip ahead of jobs report","By Stephen Culp NEW YORK (Reuters) - Wall Street slid sharply on Thursday, pulled lower by bank stocks and jitters ahead of Friday's employment report, while Treasury yields...",https://www.investing.com//news/economy/asian-shares-stutter-dollar-buoyant-as-data-supports-hawkish-powell-3025616
2023-03-09,U.S. stocks rise after higher jobless claims calm rate fears,"By Liz Moyer Investing.com -- U.S. stocks were rising after jobless claims data came in higher than expected. At 11:23 ET (16:23 GMT), the Dow Jones Industrial Average was up 71...",https://www.investing.com//news/stock-market-news/us-stocks-rise-after-higher-jobless-claims-calm-rate-fears-3026418
